"Treatment","Clusters","Block","Repetition","Yield","Number_of_Fruits"
"Infes","Cluster1",3,"3","913.2","8"
"Infes","Cluster2",3,"3","942.39999999999986","9"
"Infes","Cluster3",3,"3","873.30000000000007","8"
"Infes","Cluster4",3,"3","487","3"
"Infes","Cluster5",3,"3","0","0"
"Infes","Cluster6",3,"3","0","0"
"Infes","Cluster1",4,"1","986.50000000000011","9"
"Infes","Cluster2",4,"1","817.59999999999991","8"
"Infes","Cluster3",4,"1","703","5"
"Infes","Cluster4",4,"1","832","6"
"Infes","Cluster5",4,"1","0","0"
"Infes","Cluster6",4,"1","0","0"
"Infes","Cluster1",4,"2","852.59999999999991","6"
"Infes","Cluster2",4,"2","908.2","8"
"Infes","Cluster3",4,"2","732.6","4"
"Infes","Cluster4",4,"2","631","6"
"Infes","Cluster5",4,"2","0","0"
"Infes","Cluster6",4,"2","0","0"
"Infes","Cluster1",4,"3","737.8","7"
"Infes","Cluster2",4,"3","1069.5","8"
"Infes","Cluster3",4,"3","1260.8","5"
"Infes","Cluster4",4,"3","0","0"
"Infes","Cluster5",4,"3","314.10000000000002","3"
"Infes","Cluster6",4,"3","0","0"
"Infes","Cluster1",5,"1","837.3","7"
"Infes","Cluster2",5,"1","1281.5999999999999","10"
"Infes","Cluster3",5,"1","1250.5","8"
"Infes","Cluster4",5,"1","975","6"
"Infes","Cluster5",5,"1","0","0"
"Infes","Cluster6",5,"1","0","0"
"Infes","Cluster1",5,"2","467.9","4"
"Infes","Cluster2",5,"2","1583.6","12"
"Infes","Cluster3",5,"2","782.4","6"
"Infes","Cluster4",5,"2","652","6"
"Infes","Cluster5",5,"2","269.7","2"
"Infes","Cluster6",5,"2","0","0"
"Infes","Cluster1",5,"3","815.40000000000009","7"
"Infes","Cluster2",5,"3","1100.2","11"
"Infes","Cluster3",5,"3","693.8","6"
"Infes","Cluster4",5,"3","730","6"
"Infes","Cluster5",5,"3","224.9","2"
"Infes","Cluster6",5,"3","0","0"
"Infes+EXAm","Cluster1",1,"1","819","6"
"Infes+EXAm","Cluster2",1,"1","1103.8999999999999","8"
"Infes+EXAm","Cluster3",1,"1","989.39999999999986","6"
"Infes+EXAm","Cluster4",1,"1","1081.5999999999999","7"
"Infes+EXAm","Cluster5",1,"1","892.1","8"
"Infes+EXAm","Cluster6",1,"1","971.8","9"
"Infes+EXAm","Cluster1",1,"2","613.70000000000005","5"
"Infes+EXAm","Cluster2",1,"2","803.40000000000009","7"
"Infes+EXAm","Cluster3",1,"2","665.28","6"
"Infes+EXAm","Cluster4",1,"2","819.1","6"
